Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-28.73025	-52.87779	24.14754	0.5588717	0.416866	0.583134	0.7776958
6	-29.85309	-52.81527	22.96217	0.5518376	0.792568	0.207432	1.790989
12	-36.01791	-58.13478	22.11687	1.39714	0.908992	0.0910075	1.790989
18	-37.92835	-61.31567	23.38731	1.424481	0.603986	0.396014	0.5671313
24	-37.99602	-60.30255	22.30653	2.119843	0.793874	0.206126	1.083541
30	-37.17994	-60.29832	23.11837	1.701571	0.823194	0.176806	0.4919914
36	-28.29073	-51.277	22.98627	1.751772	0.875806	0.124194	0.3238499
42	-30.53339	-53.93081	23.39742	1.356986	0.931565	0.0684351	0.7037163
48	-33.01082	-53.54367	20.53286	0.4229576	0.900561	0.0994388	3.388965
54	-31.49565	-55.01809	23.52243	0.7369291	0.353581	0.646419	1.230735
60	-29.10065	-52.53781	23.43717	1.377779	0.818177	0.181823	0.5523622
66	-36.99089	-61.08194	24.09105	0.6786254	0.450081	0.549919	0.675976
72	-29.16632	-52.58197	23.41565	0.9643119	0.407335	0.592665	1.125939
78	-31.79501	-53.01199	21.21698	0.3399169	0.809719	0.190281	3.032925
84	-33.36968	-54.7794	21.40972	0.1471833	0.825218	0.174782	3.032925
90	-43.22425	-66.61297	23.38872	0.3665762	0.179953	0.820047	1.620255
96	-38.28007	-62.6822	24.40212	0.05218599	0.824795	0.175205	1.057329
102	-39.61768	-62.60833	22.99064	1.736438	0.824795	0.175205	0.7476771
108	-36.07138	-59.39354	23.32216	1.404921	0.922879	0.0771211	0.7476771
114	-31.208	-54.33422	23.12622	1.692461	0.628492	0.371508	0.5268484
120	-49.26572	-65.50698	16.24126	8.517278	0.944087	0.0559135	0.6964957
126	-41.48978	-64.24678	22.75699	1.812538	0.708181	0.291819	0.9419354
132	-38.83972	-61.52698	22.68726	2.132119	0.308417	0.691583	0.4815432
138	-34.62306	-56.51609	21.89303	1.872382	0.785613	0.214387	1.612928
144	-42.50604	-61.95281	19.44678	0.2935135	0.795052	0.204948	4.09084
150	-45.49967	-66.25721	20.75753	0.3595666	0.806211	0.193789	3.294132
156	-41.24439	-62.10186	20.85747	0.2596281	0.818002	0.181998	3.294132
162	-40.15374	-60.60179	20.44805	3.950687	0.973186	0.0268144	0.1693514
168	-40.43424	-62.56057	22.12632	1.710762	0.61618	0.38382	1.560605
174	-37.93134	-60.13974	22.2084	1.185972	0.653019	0.346981	1.873266
180	-32.21327	-55.89079	23.67751	0.1484646	0.456702	0.543298	1.568766
186	-32.91041	-56.43278	23.52236	0.4390583	0.63694	0.36306	1.467772
192	-36.08679	-58.78667	22.69988	0.5768826	0.634901	0.365099	1.952883
198	-38.52888	-61.48102	22.95214	0.04066615	0.848813	0.151187	2.140797
204	-36.06411	-58.72788	22.66378	1.04342	0.790522	0.209478	1.654875
210	-37.63705	-61.19923	23.56218	1.169274	0.533426	0.466574	0.7410181
216	-41.93576	-64.22813	22.29237	0.9511257	0.578945	0.421055	1.975196
222	-38.61164	-62.06643	23.45479	0.7208323	0.659276	0.340724	1.299968
228	-37.84531	-60.5327	22.68739	1.993578	0.542951	0.457049	0.2804568
234	-32.3362	-55.0236	22.68739	1.993578	0.281161	0.718839	0.2804568
240	-34.9933	-57.80724	22.81394	1.993578	0.403805	0.596195	0.4248891
246	-30.24525	-53.08803	22.84278	1.236667	0.876063	0.123937	1.376748
252	-35.42422	-59.4566	24.03239	0.7561226	0.593305	0.406695	0.636365
258	-31.27665	-55.02347	23.74682	0.5923888	0.924315	0.0756848	1.162134
264	-36.28973	-59.19968	22.90996	0.9830736	0.814606	0.185394	1.51918
270	-32.79131	-54.33869	21.54738	1.09636	0.915064	0.0849361	2.365166
