Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
360	-34.04903	-58.55324	24.50421	0.0216437	0.0632231	0.054914	0.0912859	0.0245789	0.00048884	0.019429	0.033001	0.0411541	0.112807	0.0133281	0.062308	0.030919	0.000238689	0.0397084	0.00568422	0.0156201	0.0826699	0.057605	0.0473396	0.00529022	0.0556866	0.0297203	0.875763	0.93735	0.980018	1.02039	1.06684	1.14186	0.09592208	0.0238198	0.0695797	0.0604351	0.100464	0.0270501	0.000537988	0.0213824	0.0363189	0.0452918	0.124149	0.0146681	0.0685726	0.0340276	0.000262687	0.0437008	0.00625572	0.0171905	0.0909817	0.0633967	0.0520992	0.00582211	0.0612855	0.0327085	0.799659	0.200341	0.7996595	0.9086435
396	-32.45521	-55.37693	22.92171	0.0173686	0.0394601	0.0259744	0.0468626	0.311865	0.0400673	0.0313969	0.0332612	0.0567452	0.278499	0.0491525	0.215619	0.0808706	0.223938	0.0319329	0.00801844	0.0399769	0.0804177	0.0935589	0.00891433	0.0362193	0.14758	0.2247	0.871733	0.935244	0.97933	1.02111	1.06924	1.14714	0.09925678	0.00818346	0.0185922	0.0122382	0.02208	0.14694	0.0188783	0.0147931	0.0156715	0.0267364	0.131219	0.0231589	0.101592	0.0381034	0.105512	0.0150457	0.00377801	0.0188357	0.03789	0.0440817	0.00420012	0.0170653	0.0695345	0.105871	0.772882	0.227118	0.772882	2.122399
432	-31.90518	-55.0672	23.16203	0.0502732	0.124829	0.00191077	0.00522456	0.0189468	0.0176097	0.00461935	0.00456069	0.000320994	0.0303396	0.018028	0.0234306	0.0649189	0.000983837	0.00264722	0.00520912	0.00794844	0.0155714	0.0292202	0.00115882	0.00422785	0.0548144	0.0257154	0.100999	0.326891	0.705509	1.41742	3.05913	9.9011	1.657741	0.0980923	0.243564	0.00372827	0.0101941	0.0369687	0.0343599	0.00901321	0.00889875	0.000626319	0.0591983	0.035176	0.0457174	0.126669	0.00191965	0.00516521	0.010164	0.0155089	0.0303828	0.0570141	0.00226107	0.00824932	0.106953	0.0501754	0.342121	0.657879	0.3421206	0.5125089
468	-35.91156	-57.54732	21.63576	0.0426981	0.184267	0.00442044	0.0331835	0.0592661	0.193372	0.0698686	0.20027	0.0351045	0.0256053	0.12448	0.157644	0.0966449	0.0152652	0.0816927	0.083583	0.0833665	0.179093	0.19252	0.0779767	0.308685	0.0191438	0.115359	0.258211	0.516676	0.813822	1.22877	1.93545	3.8728	0.9790195	0.017914	0.077309	0.00185459	0.0139221	0.0248651	0.0811291	0.0293133	0.0840233	0.0147281	0.0107427	0.0522255	0.0661393	0.0405473	0.00640451	0.0342741	0.0350672	0.0349763	0.0751382	0.0807717	0.0327151	0.129509	0.00803177	0.0483989	0.89046	0.10954	0.8904595	2.38351
504	-34.20242	-57.16969	22.96726	0.061418	0.0442996	0.0671307	0.0113829	0.0131296	0.0762126	0.00587547	0.0923078	0.0155365	0.0494242	0.0511864	0.0853956	0.120626	0.173716	0.107191	0.0368798	0.174482	0.0450963	0.0418131	0.0350843	0.0492002	0.0514725	0.295378	0.395566	0.636155	0.868391	1.15156	1.57194	2.52802	0.6706008	0.0360384	0.0259938	0.0393905	0.0066792	0.00770408	0.0447194	0.00344756	0.0541637	0.00911638	0.0290008	0.0300348	0.0501078	0.07078	0.101932	0.0628968	0.0216401	0.102381	0.0264613	0.0245348	0.0205865	0.0288693	0.0302026	0.173319	0.819518	0.180482	0.819518	1.704238
540	-26.44997	-50.64002	24.19005	0.0233002	0.00542449	0.0184479	0.0100277	0.0692715	0.076976	0.00929279	0.00317348	0.0411036	0.0798788	0.036229	0.194127	0.14705	0.1252	0.0372037	0.0157485	0.0473457	0.031309	0.0930451	0.0520088	0.0520631	0.0221544	0.0169033	0.874491	0.936686	0.979801	1.02062	1.06759	1.14352	0.09697343	0.0192997	0.00449313	0.0152805	0.008306	0.0573779	0.0637597	0.00769726	0.00262861	0.0340464	0.066164	0.0300086	0.160797	0.121803	0.103704	0.030816	0.0130445	0.0392167	0.0259334	0.0770697	0.0430792	0.0431242	0.0183506	0.0140011	0.756581	0.243419	0.7565814	1.207284
576	-32.95096	-56.00267	23.05171	0.0542583	0.0694131	0.00617232	0.0216693	0.157587	0.00873159	0.0348381	0.0134177	0.0453177	0.145955	0.015189	0.205712	0.117039	0.0158997	0.00610793	0.0454521	0.0510717	0.268167	0.0426367	0.0191019	0.0698544	0.0546873	0.081409	0.330661	0.582911	0.84503	1.18339	1.71553	3.02424	0.8001922	0.0350124	0.0447917	0.00398295	0.013983	0.10169	0.00563442	0.0224807	0.0086583	0.0292431	0.0941835	0.00980135	0.132744	0.075524	0.0102599	0.00394139	0.0293299	0.0329561	0.173046	0.0275131	0.0123263	0.0450764	0.0352892	0.0525325	0.712933	0.287067	0.7129327	1.549687
612	-37.12034	-58.15173	21.03139	0.0386592	0.031332	0.0722083	0.0436847	0.0774011	0.0132805	0.0238551	0.017124	0.0694093	0.0289159	0.157787	0.420511	0.223187	0.212827	0.0164994	0.12214	0.0849149	0.127168	0.0111277	0.00936359	0.118	0.142493	0.151615	0.0774814	0.287249	0.677621	1.47575	3.4813	12.9063	1.849406	0.0174652	0.0141549	0.0326217	0.0197355	0.0349677	0.00599976	0.0107771	0.00773616	0.0313572	0.0130634	0.071284	0.189975	0.10083	0.0961493	0.00745397	0.0551793	0.0383622	0.0574509	0.00502719	0.00423021	0.0533092	0.0643746	0.0684954	0.994228	0.00577168	0.9942283	2.213503
648	-33.0738	-56.0516	22.9778	0.0174431	0.0552044	0.0148384	0.0745023	0.199957	0.0764098	0.033512	0.00920327	0.0331096	0.319797	0.0877994	0.075402	0.02517	0.19468	0.0885765	0.0511078	0.0453713	0.00778542	0.0474225	0.0817725	0.116152	0.0152063	0.0730461	0.433518	0.665224	0.880581	1.13561	1.50325	2.30671	0.6043564	0.0100049	0.0316635	0.00851085	0.0427322	0.114689	0.0438263	0.0192214	0.00527871	0.0189907	0.183426	0.050359	0.0432483	0.0144367	0.111663	0.0508048	0.0293139	0.0260236	0.00446547	0.0272001	0.0469022	0.0666211	0.00872186	0.041897	0.649902	0.350098	0.6499023	1.743469
684	-28.87128	-52.30583	23.43456	0.0991175	0.0436512	0.0326263	0.0241337	0.0405245	0.0157839	0.0238919	0.0119293	0.0245849	0.0238999	0.0228724	0.0643897	0.0189535	0.0909815	0.0242718	0.0558123	0.0177665	0.00536069	0.0439661	0.0409459	0.0350269	0.0124946	0.0488031	0.180274	0.433628	0.770526	1.29781	2.30612	5.5471	1.238816	0.120612	0.0531174	0.0397016	0.0293673	0.0493126	0.0192068	0.0290731	0.0145162	0.0299163	0.0290828	0.0278324	0.0783531	0.0230638	0.110712	0.0295354	0.0679157	0.0216193	0.00652321	0.0535006	0.0498254	0.0426227	0.0152041	0.0593864	0.587228	0.412772	0.5872284	0.821788
720	-35.52274	-58.75697	23.23423	0.0631652	0.00422557	0.0671377	0.0200048	0.00373138	0.0286398	0.0229462	0.0279931	0.0165917	0.0297592	0.00810291	0.060976	0.0760921	0.0064769	0.0255012	0.0137483	0.0291784	0.072845	0.0284646	0.0761645	0.0589579	0.0330403	0.00386905	0.130536	0.370459	0.733592	1.36316	2.69936	7.66072	1.472244	0.0812297	0.00543404	0.0863383	0.0257259	0.00479851	0.0368304	0.0295086	0.0359988	0.0213368	0.03827	0.0104203	0.0784144	0.0978536	0.00832922	0.0327942	0.0176802	0.037523	0.0936779	0.0366052	0.0979467	0.0758192	0.0424895	0.00497555	0.860534	0.139466	0.860534	0.7776119
756	-38.10962	-61.63981	23.53019	0.0469359	0.00637565	0.00747614	0.00590522	0.00306627	0.00763218	0.00420633	0.00686477	0.0198799	0.0125288	0.01671	0.0373936	0.0134318	0.0013921	0.0124805	0.00699013	0.00811252	0.0750742	0.0111536	0.00275659	0.0187598	0.0185823	0.017908	0.179327	0.432515	0.769908	1.29886	2.31206	5.5764	1.242625	0.129795	0.017631	0.0206742	0.0163301	0.00847936	0.0211057	0.011632	0.0189836	0.0549751	0.0346466	0.0462091	0.103407	0.0371438	0.00384966	0.034513	0.0193303	0.022434	0.207608	0.0308438	0.00762298	0.0518776	0.0513869	0.0495221	0.231134	0.768866	0.2311342	0.3616162
792	-32.78794	-55.39442	22.60647	0.0205567	0.0559352	0.0029975	0.0135631	0.0554579	0.0155627	0.00492314	0.0252977	0.0288225	0.0380042	0.0146143	0.058827	0.048791	0.0010933	0.00262669	0.0447417	0.0476797	0.114287	0.00762821	0.00315907	0.00970866	0.00205202	0.00837239	0.0485861	0.228775	0.631171	1.58436	4.37111	20.582	2.186863	0.0329063	0.089539	0.00479828	0.0217113	0.0887749	0.0249122	0.00788077	0.0404956	0.046138	0.0608357	0.0233941	0.0941681	0.0781029	0.00175011	0.00420471	0.0716208	0.0763239	0.182947	0.012211	0.00505692	0.0155413	0.0032848	0.0134022	0.728212	0.271788	0.7282119	0.6247021
828	-35.36334	-58.2164	22.85306	0.00538457	0.00520291	0.0369087	0.0338253	0.0304039	0.00960732	0.0520438	0.00695455	0.00938428	0.0448059	0.0498158	0.0680619	0.00857733	0.020207	0.000727937	0.0309476	0.0842881	0.0509983	0.00655039	0.00866613	0.0243137	0.0228942	0.00921425	0.0681486	0.26982	0.664516	1.50485	3.70618	14.6738	1.94221	0.00868781	0.00839471	0.0595509	0.054576	0.0490556	0.0155011	0.0839709	0.0112209	0.0151412	0.0722927	0.0803761	0.109816	0.0138392	0.0326034	0.0011745	0.0499329	0.135996	0.082284	0.0105688	0.0139825	0.0392293	0.036939	0.0148669	0.611194	0.388806	0.6111937	0.6197839
864	-33.37397	-57.22236	23.84839	0.143648	0.00767761	0.0458273	0.0211335	0.0484049	0.0286998	0.0357103	0.000856049	0.02835	0.124393	0.113518	0.124937	0.0320178	0.00860355	0.0566039	0.00796755	0.0258355	0.0045019	0.221919	0.054324	0.016562	0.15651	0.000892822	0.645751	0.80792	0.935622	1.06881	1.23775	1.54858	0.3162279	0.109748	0.00586573	0.0350122	0.0161461	0.0369816	0.0219268	0.0272828	0.000654025	0.0216595	0.0950365	0.0867282	0.0954528	0.0244617	0.00657315	0.0432456	0.00608725	0.0197384	0.00343947	0.169547	0.0415038	0.0126534	0.119574	0.00068212	0.999568	0.000431648	0.9995684	1.308893
900	-30.11225	-53.51482	23.40257	0.226993	0.00737837	0.0031538	0.0147719	0.0901872	0.0448954	0.0221239	0.0299757	0.0660339	0.316683	0.0727132	0.0699909	0.0586879	0.00437764	0.038734	0.0681836	0.0491675	0.031838	0.0463228	0.100344	0.0120157	0.039165	0.0058998	0.423196	0.657451	0.877358	1.13979	1.52103	2.36297	0.6217812	0.159895	0.00519737	0.00222155	0.0104054	0.0635284	0.0316246	0.0155842	0.0211151	0.0465147	0.223074	0.0512196	0.049302	0.0413401	0.00308364	0.0272844	0.048029	0.0346339	0.0224269	0.03263	0.0706828	0.00846396	0.0275881	0.00415585	0.82831	0.17169	0.8283098	1.419636
936	-36.80607	-56.83511	20.02905	0.47329	0.00368907	0.0109156	0.029532	0.104239	0.0308807	0.101316	0.0119544	0.161938	0.0512881	0.0637179	0.587065	0.0911139	0.0946989	0.620483	0.399956	0.155383	0.0325036	0.119114	0.0316976	0.124227	0.0206967	0.082553	0.286397	0.543453	0.826752	1.20955	1.84008	3.49165	0.9041076	0.139111	0.0010843	0.00320834	0.00868013	0.0306381	0.00907656	0.0297791	0.00351367	0.0475974	0.0150747	0.0187282	0.172552	0.0267805	0.0278342	0.182374	0.117556	0.0456706	0.00955356	0.0350103	0.00931666	0.0365132	0.00608322	0.0242642	0.717629	0.282371	0.7176292	3.402251
972	-29.86996	-54.0578	24.18783	0.102151	0.00146984	0.0369041	0.00169843	0.0103582	0.0236614	0.0666148	0.015353	0.0805149	0.0292627	0.051719	0.0369504	0.0552117	0.00875745	0.0124066	0.0519076	0.015972	0.0315213	0.020855	0.00638043	0.00203275	0.0260464	0.00332001	0.452272	0.679106	0.886273	1.12832	1.47252	2.21106	0.5737346	0.147816	0.00212691	0.0534014	0.00245768	0.0149886	0.0342389	0.0963938	0.0222162	0.116508	0.0423441	0.0748391	0.0534684	0.0798932	0.0126723	0.0179528	0.075112	0.023112	0.0456124	0.0301778	0.00923269	0.00294146	0.03769	0.00480417	0.678901	0.321099	0.6789009	0.6910693
1008	-32.66969	-56.03764	23.36795	0.0475682	0.0645473	0.0033619	0.00456131	0.0227347	0.0240497	0.156811	0.124877	0.114765	0.114012	0.0551087	0.0767731	0.0713984	0.00446625	0.017097	0.0136235	0.17887	0.0607097	0.110055	0.0350549	0.0476806	0.129791	0.368732	0.913593	0.956883	0.986344	1.01385	1.04506	1.09458	0.06534372	0.0257592	0.0349537	0.00182054	0.00247005	0.0123113	0.0130234	0.0849167	0.0676234	0.0621479	0.0617402	0.0298426	0.0415742	0.0386638	0.00241857	0.0092584	0.00737741	0.0968622	0.0328756	0.0595972	0.018983	0.0258201	0.0702845	0.199676	0.237742	0.762258	0.237742	1.846649
1044	-28.17877	-51.26083	23.08206	0.0956029	0.0262124	0.000908875	0.0462363	0.024145	0.0224186	0.0612581	0.0590049	0.0341962	0.15946	0.00973403	0.200165	0.0821874	0.0143941	0.0348819	0.000958361	0.0316415	0.0212317	0.0113632	0.0875497	0.14095	0.347535	0.0592533	0.359129	0.606868	0.855716	1.16861	1.6478	2.78452	0.7404766	0.0608436	0.0166821	0.000578427	0.0294257	0.0153663	0.0142676	0.0389859	0.0375519	0.0217632	0.101484	0.00619494	0.127389	0.0523057	0.00916071	0.0221995	0.000609921	0.0201373	0.0135123	0.00723179	0.0557184	0.0897036	0.221178	0.03771	0.785449	0.214551	0.7854489	1.571288
1080	-35.48374	-57.64084	22.1571	0.0603973	0.0120134	0.00442204	0.0516143	0.00780971	0.00834711	0.0137871	0.0591411	0.0497603	0.12061	0.0182189	0.0249704	0.00875166	0.00745161	0.0471045	0.019623	0.0270954	0.382037	0.130188	0.0738004	0.0308194	0.00851528	0.187326	0.0672847	0.268146	0.663227	1.50778	3.72931	14.8622	1.951435	0.0446131	0.00887382	0.00326638	0.0381254	0.00576872	0.00616568	0.010184	0.0436851	0.0367559	0.0890895	0.0134576	0.0184446	0.0064645	0.0055042	0.0347942	0.0144948	0.0200143	0.282196	0.0961643	0.0545134	0.0227651	0.00628989	0.13837	0.79878	0.20122	0.7987803	1.353803
1116	-35.67212	-58.92981	23.25769	0.221479	0.0913552	0.0158678	0.232954	0.0211146	0.111311	0.0836681	0.00862425	0.0120648	0.150341	0.0256648	0.0743937	0.096868	0.00535455	0.131243	0.0193401	0.00235932	0.0205756	0.12705	0.105214	0.0359171	0.0405941	0.0705083	0.590661	0.773537	0.923014	1.08341	1.29276	1.69302	0.3807057	0.129987	0.0536166	0.00931284	0.136721	0.0123922	0.0653284	0.049105	0.00506159	0.00708087	0.0882352	0.0150627	0.0436619	0.0568521	0.0031426	0.0770266	0.0113507	0.00138469	0.0120759	0.0745658	0.0617503	0.0210799	0.0238248	0.0413815	0.590774	0.409226	0.5907745	1.70386
1152	-28.97617	-52.14697	23.17079	0.0877237	0.0306114	0.0929849	0.152582	0.0920359	0.00757102	0.02092	0.0108599	0.093856	0.0884215	0.0904483	0.0840934	0.12462	0.181416	0.0193995	0.155432	0.0515213	0.0141408	0.0549097	0.117529	0.00319946	0.113927	0.0177466	0.525919	0.730956	0.906852	1.10272	1.36807	1.90143	0.4646497	0.0514222	0.0179439	0.0545063	0.0894412	0.0539499	0.00443801	0.012263	0.00636588	0.0550169	0.0518313	0.0530193	0.0492942	0.0730504	0.106343	0.0113717	0.0911119	0.030201	0.00828912	0.0321872	0.0688936	0.00187547	0.066782	0.0104027	0.350821	0.649179	0.3508213	1.70595
1188	-32.5133	-56.15688	23.64358	0.0999143	0.00203463	0.00958214	0.0243269	0.0592406	0.00617476	0.00860798	0.0185304	0.0234427	0.0115253	0.0367986	0.00679057	0.000781593	0.0184879	0.00916822	0.0180716	0.00347561	0.0318957	0.00963036	0.00789413	0.0056593	0.0148187	0.00587607	0.199226	0.455291	0.782334	1.27823	2.1964	5.01943	1.166539	0.230894	0.00470186	0.0221436	0.0562175	0.1369	0.0142694	0.0198924	0.0428223	0.0541743	0.0266339	0.0850387	0.0156925	0.0018062	0.0427241	0.021187	0.041762	0.00803185	0.0737084	0.022255	0.0182427	0.0130782	0.0342448	0.0135791	0.383853	0.616147	0.3838529	0.4327282
1224	-29.82566	-52.53876	22.7131	0.0662487	0.161295	0.0052839	0.0289744	0.107857	0.0116137	0.0479098	0.0223988	0.0255382	0.150223	0.0190954	0.13997	0.00958996	0.0691641	0.0144174	0.0767602	0.0651835	0.014092	0.00393315	0.206964	0.0429464	0.189008	0.0388841	0.194906	0.45045	0.77973	1.2825	2.22	5.13067	1.182389	0.0436608	0.1063	0.00348232	0.0190954	0.0710822	0.00765391	0.0315746	0.0147618	0.0168308	0.0990035	0.0125847	0.0922465	0.0063202	0.0455821	0.00950172	0.0505883	0.0429588	0.00928727	0.00259212	0.136398	0.0283036	0.124564	0.0256263	0.908276	0.0917245	0.9082755	1.51735
1260	-29.56314	-52.85604	23.2929	0.0327241	0.0298537	0.000376086	0.0121837	0.0159579	0.00696295	0.0431131	0.0318244	0.0383032	0.0771972	0.017864	0.041645	0.110331	0.0736877	0.00433251	0.0522381	0.0357236	0.00607658	0.0768277	0.0426168	0.0185512	0.016263	0.0586791	0.151772	0.398717	0.750611	1.33225	2.50804	6.58884	1.363257	0.0388033	0.0353997	0.000445952	0.0144471	0.0189224	0.00825647	0.0511223	0.0377365	0.0454188	0.0915382	0.0211826	0.0493815	0.130828	0.0873767	0.00513737	0.0619424	0.0423601	0.00720543	0.0911002	0.0505338	0.0219975	0.0192842	0.06958	0.688446	0.311554	0.6884461	0.8433326
1296	-32.33994	-54.94909	22.60915	0.126816	0.0554809	0.0195498	0.0105494	0.0816575	0.0224102	0.282846	0.0133373	0.02947	0.00935488	0.105452	0.222471	0.0212261	0.0751051	0.0121468	0.221237	0.134129	0.0300285	0.100589	0.0658598	0.112479	0.165548	0.111237	0.465018	0.688373	0.890029	1.12356	1.4527	2.15046	0.5536392	0.0625025	0.0273442	0.00963528	0.00519935	0.0402456	0.0110451	0.139403	0.00657339	0.0145245	0.00461063	0.0519729	0.109647	0.0104614	0.0370162	0.00598665	0.109038	0.0661066	0.0147998	0.0495763	0.0324596	0.0554362	0.0815919	0.0548241	0.725015	0.274985	0.7250154	2.02898
