Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
576	-27.26144	-50.86298	23.60154	0.0611353	0.000779019	0.00744103	0.0444521	0.0800414	0.0083391	0.00632688	0.0103294	0.00255114	0.0652615	0.0485946	0.0952278	0.0777241	0.0109826	0.00469558	0.128796	0.0307379	0.00384227	0.0221195	0.133309	0.0364604	0.0155339	0.00238175	0.247749	0.506358	0.808717	1.23653	1.97489	4.03634	1.008926	0.0681505	0.000868412	0.00829489	0.049553	0.0892261	0.00929601	0.00705288	0.0115147	0.00284388	0.0727503	0.0541709	0.106155	0.0866429	0.0122429	0.0052344	0.143575	0.0342651	0.00428317	0.0246577	0.148606	0.0406442	0.0173164	0.00265506	0.916318	0.083682	0.916318	0.8970624
612	-38.13567	-61.18586	23.05019	0.0110865	0.000326331	0.00699791	0.0206952	0.00262519	0.0315479	0.0116384	0.0800949	0.00748559	0.0660562	0.0433848	0.103822	0.0115202	0.0234663	0.00781128	0.00518689	0.00630598	0.0449325	0.0569752	0.0358493	0.00764529	0.0254502	0.00301245	0.0892324	0.307728	0.692337	1.44438	3.24962	11.2067	1.747304	0.0180587	0.000531556	0.0113988	0.0337101	0.00427613	0.051388	0.0189576	0.130466	0.0121932	0.107598	0.070669	0.169114	0.0187651	0.038224	0.0127237	0.00844885	0.0102717	0.0731899	0.0928061	0.0583944	0.0124533	0.0414556	0.00490694	0.694914	0.305086	0.6949142	0.6139163
648	-31.68723	-55.53202	23.84479	0.0576431	0.0306848	0.0205092	0.0795948	0.0347459	0.0235566	0.113131	0.170709	0.0208681	0.0516483	0.0353968	0.201957	0.0524451	0.0375187	0.0483983	0.00756079	0.0325975	0.124698	0.0565415	0.0607509	0.0450013	0.064351	0.0107105	0.728332	0.856757	0.952912	1.04941	1.16719	1.373	0.2292113	0.0417396	0.022219	0.0148507	0.0576349	0.0251596	0.0170574	0.0819185	0.123611	0.0151106	0.0373987	0.025631	0.146238	0.0379757	0.0271674	0.0350454	0.00547479	0.023604	0.0902946	0.0409419	0.0439899	0.0325856	0.0465968	0.00775549	0.938392	0.0616082	0.9383918	1.381018
684	-31.95503	-53.94386	21.98883	0.0703363	0.3074	0.0512854	0.107839	0.161451	0.014822	0.0551268	0.0150492	0.0153507	0.111265	0.0416441	0.0626662	0.13443	0.0515174	0.16876	0.247109	0.0100397	0.0911558	0.0693048	0.195806	0.170207	0.0923077	0.517734	0.978995	0.9897	0.996775	1.00324	1.01041	1.02146	0.01534952	0.0254601	0.111272	0.0185641	0.0390352	0.0584417	0.0053652	0.0199546	0.00544745	0.00555659	0.0402754	0.0150742	0.0226837	0.0486607	0.0186481	0.0610871	0.0894477	0.00363415	0.0329963	0.0250867	0.0708773	0.061611	0.0334133	0.187408	0.48886	0.51114	0.4888599	2.762607
720	-30.96512	-54.59685	23.63173	0.073967	0.0111171	0.109584	0.0327556	0.0458418	0.00196808	0.143323	0.0122516	0.0357613	0.0494344	0.0695231	0.216112	0.313767	0.0177255	0.00618082	0.0231902	0.000300039	0.112357	0.0691553	0.0681385	0.0442096	0.0415143	0.047325	0.731738	0.858709	0.953589	1.04867	1.16454	1.36661	0.2258381	0.0478595	0.00719319	0.0709049	0.0211942	0.0296614	0.00127342	0.0927356	0.00792723	0.023139	0.0319859	0.0449841	0.139833	0.20302	0.0114691	0.00399923	0.015005	0.000194137	0.0726992	0.0447462	0.0440883	0.0286053	0.0268614	0.0306211	0.831561	0.168439	0.8315609	1.545502
756	-33.96092	-56.76906	22.80814	0.219506	0.00163615	0.117702	0.0488005	0.014307	0.0288697	0.00713836	0.032664	0.0141127	0.110527	0.0267714	0.125143	0.0883805	0.1842	0.0344271	0.0181907	0.0134554	0.143095	0.0885105	0.0989786	0.050734	0.0650499	0.0470586	0.249608	0.508208	0.809637	1.23512	1.9677	4.00628	1.00352	0.138993	0.00103602	0.07453	0.0309009	0.00905929	0.0182805	0.00452007	0.0206831	0.00893629	0.0699868	0.0169519	0.0792417	0.0559633	0.116637	0.0217995	0.0115185	0.00852005	0.0906087	0.0560456	0.0626741	0.0321252	0.0411901	0.0297979	0.646637	0.353363	0.6466374	1.579259
792	-37.54167	-59.84415	22.30248	0.0290542	0.00660513	0.00434867	0.00180523	0.0168724	0.0007629	0.00112449	0.0190707	0.0100963	0.00522279	0.0498365	0.236584	0.168495	0.0239502	0.00462885	0.0538154	0.0280801	0.0855295	0.00419239	0.00489774	0.0388654	0.00760286	0.0521823	0.0390294	0.205598	0.610484	1.63804	4.86387	25.6217	2.345231	0.0340363	0.00773776	0.00509436	0.00211479	0.0197656	0.00089372	0.00131732	0.0223409	0.0118276	0.00611838	0.0583823	0.277153	0.197388	0.0280571	0.00542259	0.0630435	0.0328951	0.100196	0.00491129	0.00573759	0.04553	0.00890657	0.0611303	0.478042	0.521958	0.4780415	0.8536233
828	-29.29242	-52.52023	23.22781	0.00460559	0.0969732	0.0195511	0.00152577	0.175338	0.0101963	0.0214558	0.0169997	0.0259198	0.116384	0.0143628	0.022691	0.121028	0.00547157	0.0358289	0.0258076	0.0186734	0.0617055	0.107737	0.0371887	0.104598	0.02085	0.03531	0.195415	0.451023	0.780039	1.28199	2.21718	5.11731	1.180503	0.00418614	0.0881413	0.0177704	0.00138681	0.159369	0.00926769	0.0195017	0.0154514	0.0235591	0.105785	0.0130547	0.0206244	0.110005	0.00497324	0.0325658	0.0234572	0.0169727	0.0560857	0.0979246	0.0338017	0.0950713	0.018951	0.0320941	0.822594	0.177406	0.8225938	1.100201
864	-37.63395	-59.90427	22.27032	0.027493	0.022419	0.00165511	0.0137225	0.0379641	0.0130168	0.00148461	0.000718439	0.00280595	0.0355683	0.012144	0.00446696	0.0966452	0.026085	0.00654362	0.00380108	0.0210926	0.0241372	0.017927	0.00574003	0.00598731	0.0274453	0.0151618	0.0299416	0.180666	0.586353	1.70546	5.53509	33.3983	2.536891	0.0648381	0.0528718	0.00390334	0.0323625	0.0895326	0.0306983	0.00350124	0.00169433	0.00661742	0.0838826	0.0286398	0.0105347	0.227923	0.0615176	0.0154322	0.00896429	0.0497438	0.056924	0.0422783	0.013537	0.0141202	0.0647257	0.0357568	0.857923	0.142077	0.8579227	0.424025
900	-37.25206	-60.86958	23.61752	0.0674525	0.115974	0.0234343	0.0302045	0.071294	0.00412818	0.00411724	0.000151945	0.00243503	0.0782892	0.0861599	0.101379	0.0468092	0.0104203	0.00214094	0.00685932	0.11704	0.0315236	0.0734572	0.100463	0.0675444	0.0406305	0.0247449	0.338273	0.589417	0.847961	1.1793	1.69659	2.95619	0.783735	0.0609518	0.104797	0.0211758	0.0272936	0.0644231	0.00373033	0.00372045	0.000137301	0.00220035	0.0707441	0.0778563	0.0916083	0.042298	0.00941602	0.0019346	0.00619826	0.10576	0.0284856	0.0663778	0.0907812	0.0610348	0.0367148	0.0223601	0.74586	0.25414	0.7458604	1.106653
936	-25.43144	-49.52949	24.09804	0.000817005	0.0114907	0.000237926	0.00557774	0.0237686	0.0114432	0.0345517	0.00483075	0.00375917	0.0399799	0.00980855	0.0290216	0.0909138	0.00255767	0.0345254	0.00944782	0.0545443	0.0201737	0.099934	0.0365401	0.0178021	0.0186271	0.0110517	0.373187	0.61834	0.86073	1.1618	1.61723	2.67962	0.7127117	0.00142982	0.0201096	0.000416388	0.00976145	0.0415968	0.0200265	0.060468	0.00845417	0.00657882	0.0699678	0.0171657	0.05079	0.159106	0.00447611	0.0604219	0.0165344	0.0954566	0.0353055	0.174892	0.0639478	0.0311549	0.0325988	0.0193412	0.459002	0.540998	0.4590024	0.5714045
972	-34.22764	-57.97923	23.75159	0.0218897	0.00230144	0.0129936	0.0114974	0.0150934	0.0172661	0.0642422	8.26099e-05	0.00217173	0.0212393	0.0369094	0.20355	0.0725355	0.119039	0.0351919	0.0337846	0.0461034	0.0447673	0.111489	0.0240623	0.120444	0.176358	0.0355208	0.493684	0.708752	0.898167	1.11338	1.41093	2.02559	0.5103858	0.0178177	0.00187332	0.0105766	0.00935864	0.0122857	0.0140543	0.0522918	6.72428e-05	0.00176774	0.0172884	0.0300435	0.165685	0.0590424	0.0968951	0.0286455	0.0275	0.0375272	0.0364397	0.0907494	0.0195862	0.0980391	0.143552	0.0289132	0.655911	0.344089	0.6559113	1.228532
1008	-30.05558	-53.03847	22.9829	0.00592403	0.0217757	0.00899003	0.00534579	0.0369574	0.00409356	0.0100022	0.00106884	0.00709797	0.0335764	0.0376412	0.0545458	0.0780535	0.0127934	0.0516825	0.0826999	0.0171363	0.0826682	0.0257815	0.0101386	0.027992	0.0212875	0.214882	0.0998455	0.325065	0.704277	1.4199	3.07631	10.0155	1.666045	0.00695199	0.0255543	0.01055	0.00627341	0.0433704	0.0048039	0.0117378	0.00125431	0.00832965	0.0394028	0.0441728	0.0640108	0.0915977	0.0150133	0.0606507	0.0970503	0.0201099	0.0970132	0.0302552	0.0118979	0.0328493	0.0249814	0.252169	0.635182	0.364818	0.6351817	0.8521337
1044	-28.67713	-52.40181	23.72468	0.0113772	0.0220576	0.0257833	0.0050736	0.113692	0.0127018	0.0388453	0.0182552	0.00758418	0.0940569	0.0315897	0.179235	0.0145166	0.0616805	0.0770976	0.0151689	0.114477	0.0743501	0.0133046	0.0315417	0.0126483	0.0283106	0.0433713	0.358984	0.606749	0.855663	1.16868	1.64813	2.78564	0.7407669	0.0108694	0.0210731	0.0246325	0.00484715	0.108617	0.0121348	0.0371115	0.0174404	0.00724567	0.0898588	0.0301798	0.171235	0.0138687	0.0589275	0.0736565	0.0144918	0.109368	0.0710315	0.0127108	0.0301339	0.0120838	0.027047	0.0414355	0.298696	0.701304	0.2986964	1.046719
1080	-33.11941	-55.53092	22.41151	0.0167291	0.106408	0.00313156	0.0331157	0.0869401	0.0670009	0.0133905	0.00855249	0.110219	0.31532	0.0153672	0.235546	0.493053	0.00681074	0.0402534	0.180805	0.112914	0.0434074	0.0303742	0.0256596	0.0204003	0.106841	0.172635	0.558947	0.752995	0.915296	1.09254	1.32803	1.78908	0.4206097	0.00745213	0.0474003	0.00139498	0.0147517	0.0387282	0.0298462	0.00596493	0.00380979	0.0490981	0.140462	0.00684544	0.104926	0.219635	0.00303391	0.0179312	0.0805414	0.0502987	0.0193362	0.0135305	0.0114303	0.00908751	0.0475934	0.0769017	0.700321	0.299679	0.7003209	2.244875
1116	-31.66854	-55.04617	23.37763	0.0893861	0.109449	0.0120097	0.00146494	0.0483208	0.0142701	0.0052082	0.0580525	0.0864421	0.22027	0.0358074	0.252575	0.0545422	0.0487148	0.171875	0.137065	0.0242035	0.0353653	0.0378415	0.0116148	0.0249974	0.0164555	0.0245196	0.491428	0.707171	0.897541	1.11416	1.41409	2.03489	0.5136969	0.0587892	0.0719844	0.00789878	0.000963492	0.0317806	0.00938542	0.00342543	0.0381811	0.056853	0.144872	0.0235505	0.166119	0.0358724	0.0320397	0.113042	0.0901479	0.0159186	0.0232598	0.0248883	0.00763904	0.0164408	0.0108228	0.0161265	0.859231	0.140769	0.8592306	1.520451
1152	-38.31646	-61.23217	22.91571	0.134725	0.0651173	0.0285696	0.04291	0.0745743	0.0965935	0.193066	0.00282402	0.105321	0.085402	0.0145782	0.0519707	0.0410157	0.175957	0.0770843	0.00544781	0.0502102	0.00616006	0.0582028	0.0910691	0.17143	0.162266	0.21767	0.606041	0.783295	0.926631	1.07918	1.27666	1.65005	0.3621187	0.0690131	0.0333564	0.0146348	0.0219807	0.0382008	0.0494801	0.0988985	0.00144661	0.0539509	0.0437473	0.00746771	0.0266221	0.0210103	0.0901342	0.0394866	0.00279065	0.0257203	0.0031555	0.0298145	0.0466503	0.0878155	0.0831211	0.111502	0.889974	0.110026	0.8899741	1.952166
1188	-33.1765	-56.04216	22.86565	0.0984742	0.0651661	0.0492557	0.0974184	0.108919	0.0149587	0.00795627	0.0783022	0.0503634	0.261209	0.0677933	0.0839133	0.0506584	0.0502944	0.151654	0.153077	0.121781	0.128457	0.0946241	0.16816	0.0133741	0.0563958	0.0979809	0.722693	0.853515	0.951786	1.05066	1.17162	1.38371	0.2348318	0.0475678	0.0314784	0.0237929	0.0470578	0.0526133	0.00722579	0.00384326	0.0378237	0.024328	0.126177	0.0327474	0.0405342	0.0244704	0.0242946	0.0732563	0.0739438	0.0588259	0.0620509	0.045708	0.0812294	0.00646033	0.0272419	0.0473295	0.127955	0.872045	0.1279547	2.070187
1224	-36.55981	-60.59556	24.03575	0.0192814	0.0258897	0.14911	0.0227561	0.0881075	0.0100999	0.00256963	0.0662669	0.0124475	0.083805	0.0213948	0.0327212	0.0215354	0.0214317	0.113534	0.0229027	0.0244017	0.00229863	0.0346837	0.0341507	0.0079064	0.075812	0.0331359	0.46842	0.690825	0.891017	1.12231	1.44754	2.13484	0.5483686	0.0208168	0.0279513	0.160984	0.0245682	0.0951236	0.0109042	0.00277425	0.0715439	0.0134387	0.0904786	0.0230985	0.0353269	0.0232503	0.0231383	0.122575	0.0247265	0.0263448	0.00248168	0.0374456	0.0368701	0.008536	0.081849	0.0357745	0.110186	0.889814	0.1101858	0.9262419
1260	-32.9795	-56.7456	23.7661	0.0784347	0.0133002	0.0606857	0.0417886	0.0503486	0.0507486	0.0510114	0.0582757	0.000551378	0.230757	0.0157774	0.224637	0.0444211	0.0439831	0.0272649	0.0842067	0.101404	0.0275528	0.0105971	0.0304337	0.0297381	0.153178	0.0354318	0.758777	0.87404	0.958868	1.0429	1.14411	1.31791	0.1996012	0.0535563	0.00908154	0.041437	0.0285338	0.0343787	0.0346519	0.0348313	0.0397915	0.000376489	0.157564	0.010773	0.153385	0.0303314	0.0300323	0.0186168	0.0574975	0.0692402	0.0188134	0.00723588	0.0207806	0.0203056	0.104592	0.0241933	0.342181	0.657819	0.3421811	1.464528
1296	-34.95934	-58.67826	23.71892	0.0541294	0.0770606	0.0123262	3.14777e-05	0.00559802	0.0337388	0.0365937	0.00104506	0.00107757	0.37269	0.0469254	0.226203	0.0460579	0.00109504	0.0194027	0.123218	0.0737277	0.00424264	0.0159972	0.095245	0.100659	0.188432	0.039509	0.87259	0.935692	0.979476	1.02095	1.06873	1.14601	0.09854695	0.0343677	0.0489272	0.00782615	1.99858e-05	0.00355428	0.0214214	0.023234	0.000663525	0.000684168	0.236628	0.0297938	0.143621	0.029243	0.000695263	0.0123191	0.0782336	0.046811	0.00269373	0.0101569	0.0604727	0.06391	0.119639	0.025085	0.406886	0.593114	0.4068859	1.575006
