Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-31.59145	-54.89074	23.2993	0.00507827	0.00137776	0.0139502	0.0112866	0.00445616	0.00543422	0.000335442	0.00976668	0.0101355	0.0296425	0.00939003	0.0182868	0.005677	0.00474431	0.0093368	0.00353412	0.0112202	0.00133872	0.00609139	0.00717439	0.0132778	0.0155306	0.0187997	0.17773	0.430632	0.768861	1.30063	2.32217	5.62651	1.249094	0.0235252	0.00638251	0.0646245	0.0522852	0.0206433	0.0251742	0.00155394	0.0452444	0.0469529	0.13732	0.0434995	0.0847142	0.0262988	0.0219781	0.0432529	0.0163719	0.0519776	0.00620164	0.0282185	0.0332355	0.0615096	0.071946	0.0870898	0.490197	0.509803	0.4901973	0.2158651
36	-38.19403	-59.55326	21.35924	0.038614	0.0300827	0.0752724	0.138458	0.107319	0.0484765	0.103362	0.034767	0.0232872	0.0234036	0.471781	0.0575974	0.0788901	0.0328842	0.220871	0.0860277	0.19735	0.205461	0.264909	0.13831	0.137553	0.0918213	0.0103556	0.295187	0.551525	0.830564	1.204	1.81316	3.38768	0.8822499	0.0147559	0.0114957	0.0287644	0.05291	0.0410108	0.0185247	0.0394987	0.0132858	0.00889893	0.0089434	0.180286	0.0220102	0.0301469	0.0125663	0.0844031	0.0328745	0.0754151	0.0785146	0.101232	0.0528534	0.0525641	0.0350885	0.00395729	0.46833	0.53167	0.4683301	2.616854
72	-33.39362	-57.54063	24.14701	0.018392	0.0139194	0.040124	0.0272188	0.00788725	0.0325354	0.0030763	0.0232738	0.0190028	0.0247139	0.0496833	0.010823	0.0563509	0.00660702	0.01943	0.0426353	0.00605231	0.00585587	0.0111212	0.0247775	0.00841415	0.0477651	0.0117375	0.394359	0.635207	0.867987	1.15209	1.57429	2.53576	0.6728102	0.0359643	0.0272185	0.0784596	0.0532244	0.0154229	0.0636207	0.00601548	0.0455103	0.0371586	0.0483263	0.0971522	0.0211636	0.11019	0.0129195	0.037994	0.0833703	0.0118349	0.0114507	0.0217466	0.0484506	0.0164533	0.0934012	0.0229518	0.599551	0.400449	0.5995514	0.511397
108	-29.6286	-53.41121	23.78261	0.0301425	5.34906e-05	0.157381	0.0100147	0.0033947	0.0122103	0.0286881	0.0258059	0.00936652	0.160364	0.0270389	0.0406082	0.199487	0.0174675	0.0422993	0.0124058	0.150043	0.0828535	0.00788674	0.0401803	0.0230175	0.109579	0.00551252	0.48863	0.705204	0.896761	1.11512	1.41803	2.04654	0.5178262	0.025207	4.47321e-05	0.131611	0.00837492	0.00283885	0.010211	0.0239908	0.0215804	0.00783285	0.134106	0.0226116	0.033959	0.166823	0.0146074	0.0353733	0.0103745	0.125475	0.0692872	0.00659537	0.0336012	0.0192486	0.0916364	0.00460991	0.602954	0.397046	0.6029537	1.1958
144	-30.28022	-53.59058	23.31036	0.0184199	0.0564138	0.0106247	0.0166879	0.0996574	0.0046004	0.0726597	0.00814738	0.0238072	0.107159	0.117966	0.0337651	0.298914	0.0536999	0.0860049	0.0662655	0.0573746	0.0261524	0.0233404	0.10634	0.0678532	0.194721	0.0758344	0.546861	0.745009	0.912256	1.09618	1.34226	1.82862	0.4364163	0.0113255	0.0346861	0.00653264	0.0102606	0.0612745	0.00282856	0.0446749	0.00500943	0.0146379	0.065887	0.0725314	0.0207605	0.183788	0.0330175	0.0528803	0.0407435	0.0352768	0.0160798	0.0143509	0.0653834	0.0417197	0.119725	0.0466269	0.452362	0.547638	0.4523619	1.626409
180	-34.29893	-57.15221	22.85327	0.010766	0.00753834	0.0105423	0.00545897	0.0143056	0.00719991	0.0436293	0.00253043	0.00470246	0.0126774	0.00610341	0.0198568	0.0530207	0.00168004	0.0785711	0.0335851	0.0104082	0.000929521	0.0542689	0.0321079	0.0273297	0.0149905	0.0317983	0.0659176	0.265475	0.661159	1.51249	3.76683	15.1705	1.966277	0.0222438	0.0155751	0.0217815	0.0112788	0.029557	0.0148758	0.090143	0.00522815	0.00971581	0.0261929	0.0126103	0.0410263	0.109547	0.00347116	0.162337	0.0693905	0.0215045	0.00192049	0.112126	0.0663386	0.0564662	0.0309721	0.0656989	0.871707	0.128293	0.8717068	0.4840009
216	-28.86678	-52.8295	23.96271	0.0502333	0.0302799	0.00292145	0.0381341	0.0916018	0.0270359	0.0407363	0.0105958	0.00245468	0.0843617	0.0291384	0.00907632	0.0940041	0.0246812	0.00392386	0.000830843	0.0245178	0.00623129	0.0743879	0.0403649	0.0723227	0.00828146	0.000364732	0.353646	0.602332	0.853715	1.17135	1.66021	2.82768	0.7515997	0.0655376	0.0395051	0.00381151	0.0497522	0.11951	0.0352727	0.0531472	0.013824	0.00320254	0.110064	0.0380159	0.0118415	0.122644	0.0322007	0.00511932	0.00108397	0.0319875	0.00812974	0.0970513	0.0526627	0.0943569	0.0108045	0.000475852	0.97209	0.0279097	0.9720903	0.7664805
252	-33.2467	-57.35992	24.11322	0.129114	0.0609806	0.0380321	0.034456	0.0177724	0.0136366	0.0134278	0.00607792	0.00501574	0.152743	0.0563672	0.0358964	0.0631435	0.0169997	0.012407	0.0729544	0.10103	0.023192	0.0324438	0.0755915	0.135806	0.00403196	0.00102399	0.666858	0.820693	0.940212	1.06359	1.21848	1.49957	0.2929721	0.117148	0.0553291	0.0345074	0.0312627	0.0161253	0.0123728	0.0121834	0.00551464	0.0045509	0.138587	0.0511433	0.0325696	0.0572915	0.0154242	0.0112571	0.0661932	0.0916669	0.0210427	0.029437	0.0685859	0.123219	0.00365829	0.000929089	0.48853	0.51147	0.4885299	1.102144
288	-31.1435	-54.95228	23.80878	0.0368785	0.12868	0.0476979	0.0317554	0.17445	0.000998266	0.0170272	0.000832403	0.0180081	0.0810585	0.162034	0.140255	0.0185933	0.0028723	0.084146	0.00912225	0.145644	0.0630161	0.0648357	0.000264087	0.158334	0.0320665	0.0400953	0.796372	0.894899	0.965949	1.03525	1.11744	1.25569	0.1646349	0.0252824	0.0882177	0.0326997	0.0217702	0.119595	0.00068437	0.0116732	0.000570661	0.0123456	0.0555703	0.111084	0.0961529	0.0127468	0.00196913	0.057687	0.00625384	0.0998478	0.0432012	0.0444486	0.000181047	0.108547	0.0219834	0.0274877	0.382626	0.617374	0.3826261	1.458665
324	-34.02873	-57.11333	23.0846	0.0521521	0.0472674	0.172817	0.0315002	0.0469269	0.0783365	0.0233095	0.0380804	0.110467	0.041676	0.0471006	0.142289	0.0152529	0.0228783	0.00959417	0.00643956	0.00147773	0.0146302	0.00550663	0.00145907	0.0500915	0.0597183	0.00566041	0.143518	0.38799	0.744251	1.34363	2.57739	6.96779	1.403692	0.0508984	0.0461312	0.168663	0.0307429	0.0457988	0.0764533	0.0227492	0.037165	0.107811	0.0406741	0.0459683	0.138869	0.0148862	0.0223283	0.00936353	0.00628475	0.0014422	0.0142785	0.00537425	0.00142399	0.0488873	0.0582827	0.00552434	0.884594	0.115406	0.8845943	1.024632
360	-35.02852	-58.01073	22.98221	0.082705	0.0193919	0.114545	0.119663	0.00451128	0.0199987	0.00269364	0.14819	0.0740345	0.0543062	0.0603048	0.0838712	0.0348051	0.0228879	0.151835	0.0234113	0.0783793	0.00391248	0.00283157	0.0216985	0.0169877	0.164408	0.00978521	0.197003	0.452806	0.781	1.28041	2.20845	5.07607	1.174653	0.062886	0.0147449	0.0870961	0.0909878	0.00343022	0.0152063	0.00204815	0.112678	0.0562933	0.0412926	0.0458537	0.0637728	0.0264646	0.0174032	0.11545	0.0178012	0.0595969	0.00297491	0.00215303	0.0164988	0.0129169	0.12501	0.00744034	0.964629	0.0353714	0.9646286	1.315157
396	-35.23713	-57.94457	22.70744	0.00196159	0.0451549	0.0564838	0.0434996	0.0134686	0.00257389	0.0047965	0.002568	0.00230867	0.0512839	0.019812	0.0588792	0.0493818	0.0155124	0.0010646	0.0613121	0.114181	0.120947	0.00507186	0.00890355	0.00851842	0.0281739	0.000448023	0.0595676	0.252679	0.651047	1.53599	3.95759	16.7876	2.039519	0.00273849	0.0630386	0.0788544	0.0607277	0.0188028	0.00359329	0.00669616	0.00358506	0.00322302	0.071595	0.0276586	0.0821985	0.0689395	0.0216561	0.00148624	0.0855948	0.159403	0.168848	0.00708058	0.0124298	0.0118922	0.0393322	0.000625464	0.661291	0.338709	0.661291	0.7163057
432	-31.66343	-55.1462	23.48277	0.0261965	0.0163995	0.0174117	0.0464313	0.00744561	0.0064786	0.0206701	0.00408682	0.000260402	0.0339043	0.00198929	0.0177798	0.0541403	0.0111058	0.00365899	0.0127464	0.0249773	0.0196268	0.0141158	0.000154032	0.0102717	0.015622	0.00315115	0.166744	0.417438	0.761433	1.31331	2.39556	5.99721	1.295229	0.0710657	0.0444883	0.0472343	0.125958	0.0201984	0.0175751	0.0560737	0.0110867	0.000706415	0.0919754	0.00539652	0.0482329	0.146871	0.0301276	0.00992606	0.0345784	0.0677582	0.0532433	0.0382932	0.000417858	0.0278649	0.0423791	0.0085484	0.672943	0.327057	0.6729426	0.3686242
468	-34.22236	-55.75596	21.5336	0.401794	0.203003	0.00524985	0.130896	0.184504	0.00458937	0.0970102	0.0115274	0.00461406	0.206088	0.112458	0.343141	0.0320308	0.00904162	0.156793	0.373766	0.04729	0.128917	0.0720716	0.00627671	0.0880891	0.0822737	0.00582594	0.460273	0.684939	0.888641	1.12531	1.45998	2.17263	0.5610553	0.148414	0.074985	0.00193918	0.0483502	0.0681518	0.00169521	0.0358335	0.00425799	0.00170434	0.0761244	0.0415397	0.126749	0.0118315	0.00333978	0.0579158	0.138061	0.0174679	0.047619	0.0266217	0.00231848	0.0325382	0.0303902	0.00215198	0.871862	0.128138	0.8718624	2.707249
504	-39.35393	-60.75604	21.4021	0.151059	0.157969	0.391144	0.0427856	0.00382602	0.0408375	0.0391285	0.0340047	0.166986	0.0637531	0.0304785	0.181464	0.0655451	0.0150029	0.187465	0.0351356	0.00158969	0.0584835	0.00669627	0.0170227	0.149923	0.263832	0.00639155	0.103937	0.331495	0.708594	1.41125	3.01664	9.62121	1.637006	0.0715743	0.0748485	0.18533	0.0202725	0.00181283	0.0193494	0.0185397	0.016112	0.0791206	0.0302072	0.0144412	0.0859807	0.0310563	0.00710861	0.0888238	0.0166478	0.00075322	0.0277104	0.0031728	0.00806561	0.0710359	0.125008	0.00302842	0.848787	0.151213	0.8487873	2.110524
540	-27.29641	-50.43757	23.14115	0.122316	0.00097571	0.0175264	0.211027	0.0344448	0.0380927	0.0107654	0.0438904	0.0834819	0.193161	0.0533446	0.15001	0.0860415	0.0297972	0.0267155	0.0362625	0.022004	0.108978	0.100103	0.391771	0.0908635	0.0284115	0.0684829	0.821495	0.908558	0.970525	1.03037	1.10065	1.21729	0.1421769	0.0627756	0.000500758	0.00899496	0.108304	0.0176779	0.0195501	0.00552508	0.0225256	0.0428449	0.0991346	0.0273777	0.0769886	0.0441586	0.0152927	0.013711	0.0186108	0.011293	0.0559304	0.0513752	0.201066	0.0466333	0.0145815	0.0351471	0.45722	0.54278	0.4572196	1.948467
